no_of_VirusTotal_positives,dangerous_permissions,triggered_signatures,udp_count,File_identified_by_10_AVs,Hidden_Payload_Found,Application_Asks_For_Dangerous_Permissions,no_of_Hosts_Involved,label
0,2,2,4,0,0,1,5,0
0,3,3,4,0,0,1,5,0
0,1,2,6,0,0,1,5,0
0,1,2,6,0,0,1,6,0
0,3,2,5,0,0,1,5,0
1,2,2,5,0,0,1,5,0
0,0,1,6,0,0,0,6,0
0,7,2,5,0,0,1,5,0
0,1,2,4,0,0,1,5,0
0,2,2,6,0,0,1,5,0
0,2,2,6,0,0,1,5,0
0,3,2,6,0,0,1,6,0
0,5,2,6,0,0,1,5,0
0,1,2,5,0,0,1,5,0
1,1,2,5,0,0,1,5,0
0,1,2,5,0,0,1,6,0
0,1,2,6,0,0,1,5,0
0,1,2,5,0,0,1,6,0
0,1,2,4,0,0,1,5,0
0,1,2,6,0,0,1,6,0
0,1,2,6,0,0,1,5,0
0,1,2,6,0,0,1,6,0
0,3,2,5,0,0,1,5,0
0,4,2,6,0,0,1,6,0
2,4,2,6,0,0,1,5,0
0,1,2,5,0,0,1,5,0
0,2,2,5,0,0,1,6,0
0,4,2,5,0,0,1,5,0
0,3,2,5,0,0,1,5,0
0,1,1,4,0,0,1,5,0
1,1,2,12,0,0,1,5,0
1,1,2,4,0,0,1,5,0
1,1,2,5,0,0,1,5,0
1,1,2,5,0,0,1,5,0
1,1,2,6,0,0,1,5,0
1,1,2,6,0,0,1,5,0
1,1,2,5,0,0,1,5,0
1,1,2,5,0,0,1,5,0
0,6,2,6,0,0,1,5,0
0,6,2,6,0,0,1,5,0
2,6,2,4,0,0,1,5,0
0,3,2,6,0,0,1,6,0
0,2,2,4,0,0,1,5,0
0,1,2,4,0,0,1,5,0
0,1,2,6,0,0,1,5,0
5,3,2,6,0,0,1,6,0
1,2,2,5,0,0,1,5,0
2,2,3,6,0,0,1,5,0
0,2,3,5,0,0,1,5,0
6,3,2,4,0,0,1,5,0
1,4,2,4,0,0,1,5,0
0,6,2,5,0,0,1,6,0
4,1,2,4,0,0,1,5,0
0,2,3,5,0,0,1,5,0
0,17,2,5,0,0,1,5,0
0,18,2,4,0,0,1,5,0
0,17,2,6,0,0,1,6,0
1,2,2,6,0,0,1,5,0
0,2,2,6,0,0,1,6,0
1,3,2,4,0,0,1,5,0
0,18,2,4,0,0,1,5,0
0,17,2,6,0,0,1,6,0
0,17,2,6,0,0,1,6,0
0,17,2,5,0,0,1,5,0
0,1,2,6,0,0,1,5,0
0,1,2,5,0,0,1,5,0
0,1,2,6,0,0,1,6,0
0,1,2,5,0,0,1,6,0
2,5,2,5,0,0,1,5,0
0,1,2,6,0,0,1,6,0
0,1,2,5,0,0,1,5,0
0,1,2,6,0,0,1,5,0
0,1,2,4,0,0,1,5,0
0,1,2,6,0,0,1,5,0
0,1,2,6,0,0,1,6,0
0,1,2,6,0,0,1,5,0
0,1,2,5,0,0,1,5,0
0,1,2,6,0,0,1,5,0
0,1,2,5,0,0,1,5,0
1,1,2,5,0,0,1,5,0
0,2,2,6,0,0,1,6,0
0,2,2,5,0,0,1,6,0
0,0,1,6,0,0,0,5,0
0,1,2,6,0,0,1,6,0
0,1,2,6,0,0,1,6,0
0,4,2,5,0,0,1,5,0
0,2,2,5,0,0,1,5,0
0,1,2,6,0,0,1,6,0
0,6,2,7,0,0,1,6,0
0,1,3,6,0,0,1,5,0
0,1,2,6,0,0,1,5,0
0,1,3,4,0,0,1,5,0
0,0,1,6,0,0,0,5,0
0,0,1,6,0,0,0,6,0
0,0,1,4,0,0,0,5,0
0,0,1,5,0,0,0,5,0
0,0,1,5,0,0,0,6,0
0,0,1,6,0,0,0,5,0
0,3,2,6,0,0,1,5,0
0,4,2,5,0,0,1,5,0
0,0,1,5,0,0,0,5,0
0,1,2,6,0,0,1,5,0
0,2,3,6,0,0,1,5,0
0,5,2,5,0,0,1,5,0
0,1,2,4,0,0,1,5,0
0,1,1,5,0,0,1,6,0
1,2,2,6,0,0,1,6,0
0,1,2,6,0,0,1,5,0
0,3,2,4,0,0,1,5,0
0,3,2,6,0,0,1,5,0
0,3,2,5,0,0,1,5,0
0,1,2,6,0,0,1,6,0
0,2,2,6,0,0,1,6,0
0,1,2,6,0,0,1,5,0
0,2,2,6,0,0,1,6,0
0,3,2,4,0,0,1,5,0
0,1,1,6,0,0,1,5,0
0,4,2,42,0,0,1,4,0
0,4,2,96,0,0,1,4,0
0,3,1,80,0,0,1,4,0
0,4,1,80,0,0,1,4,0
0,13,3,80,0,0,1,4,0
0,2,2,5,0,0,1,5,0
0,1,2,5,0,0,1,5,0
0,1,2,6,0,0,1,5,0
0,4,2,6,0,0,1,6,0
0,2,2,5,0,0,1,6,0
0,3,2,5,0,0,1,5,0
0,3,2,6,0,0,1,5,0
0,5,2,5,0,0,1,5,0
0,5,2,6,0,0,1,5,0
0,3,2,5,0,0,1,5,0
0,3,2,4,0,0,1,5,0
1,3,2,6,0,0,1,5,0
0,3,2,5,0,0,1,5,0
0,1,2,6,0,0,1,6,0
0,3,2,5,0,0,1,5,0
0,3,2,5,0,0,1,6,0
0,3,2,5,0,0,1,5,0
0,9,2,4,0,0,1,5,0
0,1,2,6,0,0,1,6,0
0,1,2,6,0,0,1,6,0
0,1,2,6,0,0,1,5,0
0,1,2,6,0,0,1,5,0
0,1,1,80,0,0,1,4,0
0,1,1,13,0,0,1,7,0
0,1,2,6,0,0,1,6,0
0,1,1,11,0,0,1,5,0
0,1,1,15,0,0,1,7,0
0,1,1,14,0,0,1,6,0
0,1,1,13,0,0,1,6,0
0,1,1,13,0,0,1,7,0
0,17,1,14,0,0,1,5,0
0,1,1,15,0,0,1,7,0
0,8,1,14,0,0,1,7,0
0,8,1,14,0,0,1,7,0
0,1,1,12,0,0,1,5,0
0,1,2,4,0,0,1,5,0
0,1,2,15,0,0,1,5,0
0,1,1,11,0,0,1,5,0
0,1,1,13,0,0,1,6,0
0,4,1,12,0,0,1,5,0
0,16,1,12,0,0,1,6,0
0,5,1,13,0,0,1,5,0
0,1,1,15,0,0,1,5,0
0,2,2,6,0,0,1,5,0
0,4,3,6,0,0,1,6,0
0,4,3,6,0,0,1,6,0
0,1,2,6,0,0,1,5,0
0,4,3,6,0,0,1,5,0
0,4,3,6,0,0,1,5,0
0,4,3,5,0,0,1,5,0
0,4,3,6,0,0,1,5,0
0,4,3,6,0,0,1,5,0
0,1,2,4,0,0,1,5,0
3,1,2,4,0,0,1,5,0
2,1,2,5,0,0,1,5,0
6,3,4,5,0,0,1,5,0
1,1,2,6,0,0,1,6,0
0,1,2,5,0,0,1,5,0
7,1,2,4,0,0,1,5,0
1,1,2,6,0,0,1,6,0
1,1,2,6,0,0,1,5,0
0,1,2,5,0,0,1,5,0
1,1,2,5,0,0,1,5,0
0,1,2,5,0,0,1,5,0
0,1,2,6,0,0,1,6,0
